tweet_id,favorites,retweets
666020888022790149,2526,523
666029285002620928,131,47
666033412701032449,126,46
666044226329800704,305,143
666049248165822465,110,40
666050758794694657,135,59
666051853826850816,1243,869
666055525042405380,447,259
666057090499244032,303,144
666058600524156928,115,59
666063827256086533,489,226
666071193221509120,153,65
666073100786774016,328,172
666082916733198337,120,46
666094000022159362,166,76
666099513787052032,160,72
666102155909144576,80,14
666104133288665088,14588,6774
666268910803644416,106,36
666273097616637952,179,79
666287406224695296,151,70
666293911632134144,515,364
666337882303524864,202,95
666345417576210432,305,144
666353288456101888,227,74
666362758909284353,793,585
666373753744588802,193,95
666396247373291520,170,90
666407126856765440,112,42
666411507551481857,456,337
666418789513326592,126,47
666421158376562688,323,117
666428276349472768,168,89
666430724426358785,324,202
666435652385423360,170,54
666437273139982337,130,51
666447344410484738,105,22
666454714377183233,537,217
666644823164719104,236,87
666649482315059201,911,601
666691418707132416,192,50
666701168228331520,444,227
666739327293083650,241,69
666776908487630848,362,184
666781792255496192,399,206
666786068205871104,795,515
666804364988780544,248,94
666817836334096384,535,262
666826780179869698,263,102
666835007768551424,221,82
666837028449972224,847,577
666983947667116034,2650,1031
666996132027977728,254,101
667012601033924608,465,236
667044094246576128,195,52
667062181243039745,223,57
667065535570550784,172,50
667070482143944705,86,14
667073648344346624,419,131
667090893657276420,344,131
667119796878725120,343,134
667138269671505920,4791,2349
667152164079423490,49272,18042
667160273090932737,265,66
667165590075940865,2783,1217
667171260800061440,230,97
667174963120574464,259,86
667176164155375616,632,482
667177989038297088,197,58
667182792070062081,14932,6544
667188689915760640,778,444
667192066997374976,409,114
667200525029539841,646,279
667211855547486208,512,257
667369227918143488,384,171
667393430834667520,206,60
667405339315146752,486,231
667435689202614272,322,88
667437278097252352,473,255
667443425659232256,818,614
667453023279554560,324,95
667455448082227200,200,66
667470559035432960,271,101
667491009379606528,554,237
667495797102141441,552,293
667502640335572993,556,230
667509364010450944,7080,2247
667517642048163840,387,202
667524857454854144,1780,1184
667530908589760512,494,260
667534815156183040,856,570
667538891197542400,214,72
667544320556335104,906,559
667546741521195010,348,135
667549055577362432,6067,2433
667550882905632768,0,34
667550904950915073,0,37
667724302356258817,512,340
667728196545200128,392,160
667766675769573376,470,236
667773195014021121,241,61
667782464991965184,428,257
667793409583771648,726,354
667801013445750784,342,100
667806454573760512,1099,527
667832474953625600,298,68
667861340749471744,252,84
667866724293877760,3132,1095
667873844930215936,658,435
667878741721415682,407,126
667885044254572545,856,520
667886921285246976,1983,1166
667902449697558528,887,392
667911425562669056,518,324
667915453470232577,219,59
667924896115245057,315,119
667937095915278337,1341,852
668113020489474048,698,264
668142349051129856,587,305
668154635664932864,516,335
668171859951755264,517,207
668190681446379520,683,208
668204964695683073,581,205
668221241640230912,531,214
668226093875376128,322,113
668237644992782336,6530,3053
668248472370458624,1048,521
668256321989451776,1370,660
668268907921326080,583,256
668274247790391296,873,247
668286279830867968,529,149
668291999406125056,261,34
668297328638447616,649,316
